type,title,date_added,release_year,rating,description
Movie,Only the Dead,15-Nov-18,2015,TV-MA,"Given unprecedented access to soldiers and terrorists alike, journalist Michael Ware presents an epic, uncensored, intimate account of the Iraq War."
Movie,Open Season,01-Sep-19,2006,PG,"After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world."
Movie,Operation Chromite,15-Jan-18,2016,NR,"To pave the way for a major amphibious invasion, a team of South Korean spies goes behind enemy lines to steal a map of North Korean coastal defenses."
TV Show,Operation Gold Rush,01-Feb-19,2016,TV-14,A team of modern-day adventurers follows the footsteps of the money-hungry explorers who trekked the Klondike in search of Canadian gold.
Movie,Operation Mekong,05-Aug-17,2016,TV-MA,"In a dangerous area of the Mekong River, a drug raid ending in 13 deaths arouses the suspicions of a narcotics officer who sets out to find the truth."
Movie,Operation Odessa,01-Apr-20,2018,TV-MA,"A Russian mobster, a Cuban spy and a smooth operator from Miami scheme to sell a Soviet submarine to a Colombian drug cartel for $35 million."
TV Show,Operation Ouch!,01-Aug-20,2012,TV-PG,Drs. Chris and Xand van Tulleken take an entertaining approach to educate children about medicine and biology through experiments and hospital visits.
TV Show,Operation Proposal,01-Jul-16,2012,TV-PG,"On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything."
Movie,Operation Red Sea,27-Nov-18,2018,TV-MA,A special task force takes on a risky operation to evacuate civilians amid civil war. Based on the 2015 mission to rescue Chinese citizens in Yemen.
Movie,Operator,16-Feb-17,2016,TV-MA,"When a programmer uses his wife's sympathetic voice for his company's customer service app, he starts to rely more on her idealized self than her."
Movie,Opium and the Kung Fu Master,16-Aug-18,1984,TV-MA,"Leader of the Ten Kwangtung Tigers, Tieh Chiao-san works with his kung fu students to protect his village from crime. But when an opium dealer starts to ruin the town, Tieh Chiao-san struggles to fight back, thanks to his growing opium addiction."
TV Show,Origins Collection," July 20, 2018",2018,TV-PG,"This documentary series explores the stories behind history's most fascinating innovations, including games, technology, sports, medicine and more."
Movie,Oru Vishsheshapetta Biryani Kissa,01-Aug-18,2017,TV-14,"When the village's biryani cook unexpectedly passes, a widow steps up to the plate and takes on new delectable challenges."
Movie,OtherLife,15-Oct-17,2017,TV-MA,"After inventing a drug that induces time-compressed virtual realities, young Ren grapples with partner Sam over how to use their powerful creation."
Movie,Ottaal,15-Mar-17,2014,TV-PG,"Young orphan Kuttappayi goes to live with his grandfather in the country, but his new life takes a hard turn when his grandfather's health fails."
Movie,Our Godfather,10-Sep-19,2019,TV-MA,"In 1986, Tommaso Buscetta became the first top-level Mafia boss ever to testify against the mob. It cost him and his family everything."
Movie,Our House,01-Jun-20,2018,PG-13,"A young man invents a device he hopes will generate wireless energy, but instead, it proves to spark sinister, supernatural activity in his home."
Movie,Our Shining Days,01-Jul-18,2017,TV-PG,"In a battle of the bands, a percussions student and her musical kindred spirits set out to prove the merits of Chinese folk against the Western canon."
Movie,Outlawed,15-Feb-19,2018,TV-MA,"After a failed mission, an ex-Royal Marines Commando tries to overcome his demons while investigating the death of his ex-girlfriend's father."
Movie,P,31-May-19,2006,TV-MA,"An orphan girl taught magic by her sick grandma must find work in seedy Bangkok, where unsavory characters run afoul of her increasingly dark powers."
Movie,P Se PM Tak,01-Aug-18,2015,TV-14,A prostitute who is down on her luck gets caught in the middle of an elaborate scheme orchestrated by two local politicians.
TV Show,P. King Duckling,07-Nov-17,2016,TV-Y,"P. King, the daring but hapless duck, teams up with best buddies Wombat and Chumpkins to find wacky and wild ways to solve their problems."
Movie,P.S. I Love You,01-Apr-19,2007,PG-13,"When she loses her beloved husband to a brain tumor, grieving widow Holly Kennedy learns that he left a series of letters behind to help her cope."
Movie,Paathi,01-Jul-18,2017,TV-14,A face painter for Theyyam rituals who is himself disfigured conceals his guilt over the fact that he performs abortions as a medical practitioner.
Movie,Pablo Escobar: Angel or Demon?,23-Mar-18,2007,NR,This documentary traces the steps of druglord Pablo Escobar with vivid eyewitness accounts that reconstruct his bloody reign in Colombia.
TV Show,Pacific Heat,02-Dec-16,2016,TV-14,"In this animated satire, a covert squad of operatives short on smarts but long on confidence tackles crime on the glitzy Gold Coast of Australia."
Movie,Pahuyut Fighting Beat,26-Jul-18,2007,TV-MA,"When profit-seekers threaten to take over a bar in a tourist town, local martial artists put their skills to the test and fight back."
Movie,Paid in Full,01-Nov-19,2002,R,This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.
Movie,Paint It Black,01-Feb-18,2016,R,"In the wake of a young artist’s suicide, his pianist mother and his despairing girlfriend square off in a living nightmare beset by guilt and blame."
Movie,Painted Faces,16-Aug-18,1988,TV-PG,"In this dramatized rendition, students undergo rigorous study at Master Yu's Peking Opera school, a cradle for future Hong Kong film stars."
TV Show,Pajanimals,31-Mar-20,2011,TV-Y,"From the comfort of their bedroom, the Pajanimals puppets explore a larger world through imaginary adventures, accompanied by friendships and songs."
Movie,Palio,30-Jun-16,2015,TV-14,"In this documentary, a centuries-old horse race in the city of Siena, Italy, is the forum for a showdown between a young jockey and his former mentor."
Movie,Palm Trees in the Snow,01-May-16,2015,TV-MA,"Finding a tantalizing clue in an old letter, a young woman journeys to her family's tropical plantation to uncover generations of secrets."
Movie,Panic Room,01-Aug-19,2002,R,A woman and her daughter are caught in a game of cat-and-mouse with burglars in their New York City home and are forced to retreat inside a vault.
Movie,Papa the Great,08-Dec-17,2000,TV-PG,"After witnessing a murder, a meek family man must summon his courage when he finds himself on the wrong side of a notorious gangster."
Movie,Paper Year,20-Apr-19,2018,TV-MA,"A young newlywed tries to keep her relationship afloat after developing feelings for her older, TV writer boss."
Movie,Paranormal Activity,01-Jan-20,2007,R,"When Katie and Micah fear their home may be haunted by a demonic presence, Micah sets up a video camera to document all the action."
TV Show,Paranormal Survivor," August 4, 2017",2016,TV-14,"In interviews and reenactments, ordinary people relive their terrifying encounters with unwelcome guests from beyond the world of the living."
Movie,Pardes,01-Mar-18,1997,TV-14,"Prompted by loyalty, Arjun plays matchmaker between his philandering foster brother and a conservative girl but winds up falling in love himself."
Movie,Pareeth Pandaari,01-Jul-18,2017,TV-PG,"As the parents of three unmarried daughters, a humble cook and his wife contend with the challenges of matchmaking and social expectations."
Movie,Paris Is Burning,01-Feb-17,1990,R,"This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival."
TV Show,Parks and Recreation," January 13, 2016",2015,TV-14,"In this Emmy-nominated comedy, an employee with a rural Parks and Recreation department is full of energy and ideas but bogged down by bureaucracy."
TV Show,Pasión de Gavilanes,04-May-17,2003,TV-14,"Three brothers seek to avenge the tragic death of a loved one, but become emotionally entangled with the daughters of those they hold responsible."
Movie,Passenger 57,01-Jan-21,1992,R,Air marshal John Cutter must stop notorious terrorist Charles Rane from killing hostages on board a flight that should have delivered Rane to jail.
Movie,Patiala House,22-Oct-17,2011,TV-PG,"A talented young Indian cricket player must defy his father's wishes to play for the side of England, a rebellion his siblings quietly cheer."
Movie,Patient Seventeen,29-Jan-18,2017,TV-14,A surgeon claims to remove high tech microchips that aliens used to manipulate the human race. This documentary seeks to separate fact from fiction.
Movie,Patriot Games,01-Jan-20,1992,R,CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.
Movie,Patron Mutlu Son Istiyor,10-Mar-17,2014,TV-MA,"Sent to a remote village to write a screenplay, Sinan finds inspiration to spare in colorful locals, farcical misadventures and the craziness of love."
Movie,Paul Blart: Mall Cop,01-Nov-20,2009,PG,An overzealous security guard finds himself in over his head when he tries to thwart a criminal mastermind's plot to rob an entire shopping mall.
Movie,Paulettante Veedu,01-Jul-18,2016,TV-14,"A wealthy businessman's miserly habits cause no small amount of stress and embarrassment to his family, particularly his daughter."
TV Show,Pawn Stars,15-Sep-19,2010,TV-14,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas."
Movie,Paying Guests,01-Jul-18,2009,TV-14,"Desperate for a place to live, twentysomething bachelors Parikshit, Jayesh, Parag and Bhavesh finally locate a house to rent, only to learn that the landlords will consider married applicants only."
Movie,Pee Mak,01-Sep-18,2013,TV-MA,"Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy."
TV Show,Pee-wee's Playhouse," December 18, 2014",1990,TV-PG,"Pee-wee Herman brings his stage show to the masses with this innovative live-action kids series that invites viewers into his quirky, childlike world."
Movie,Pee-wee's Playhouse: Christmas Special,18-Dec-14,1988,TV-PG,"Amid an avalanche of stars, Pee-wee straps on his ice skates and glides into the holiday season with Christmas cards, carols ... and Charo."
Movie,Pekak,25-Aug-17,2016,TV-MA,"Desperate to escape her tyrannical father, a rebellious teen befriends a deaf drug pusher who's saving up his money for cochlear implants."
Movie,Penelope,01-Apr-19,2006,PG,"In this modern fairy tale, a young woman cursed with the nose of a pig lives her life in seclusion – until an unlikely beau stumbles onto the scene."
TV Show,Penny Dreadful,17-Sep-16,2016,TV-MA,"The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London."
Movie,People You May Know,28-Feb-17,2016,TV-MA,The lives of several friends are thrown into chaos when a woman becomes pregnant by her husband's gay best friend after a drunken one-night stand.
Movie,Perfect Bid: The Contestant Who Knew Too Much,30-Apr-19,2017,TV-MA,"A ""Price Is Right"" superfan brings a bit of scandal to the long-running show by figuring out the answers to the questions before they're asked."
Movie,Perfect Stranger,01-Jan-19,2007,R,Ro risks her life to discover the identity of a stranger lurking on the Internet who might hold the answers to her friend's murder.
TV Show,Person of Interest," September 22, 2016",2016,TV-14,Ex-CIA agent John Reese and enigmatic billionaire Mr. Finch use software that can predict future events to prevent violent crimes before they occur.
Movie,Personal Shopper,01-Feb-19,2016,R,"A psychic medium takes a job as personal shopper for a spoiled celebrity in order to contact the spirit of her brother, who owned her employer's home."
Movie,Peter and the Farm,09-Mar-17,2016,TV-MA,"His hilltop farm in Vermont may be bucolic, but making ends meet is a backbreaking challenge for grizzled, hard-drinking organic farmer Peter Dunning."
Movie,Peter Rabbit,18-Aug-18,2018,PG,"In this mix of live action and CGI, rascally Peter Rabbit faces a tough new foe in his ongoing battle for the veggies in Mr. McGregor's garden."
Movie,Phamous,31-Dec-19,2018,TV-MA,India's highlands descend into bullet-riddled mayhem as the longtime rivalries and ruthless revenge missions among four men come to a head.
Movie,Phantom Boy,01-Oct-17,2015,PG,A boy whose illness allows him to float outside his body uses his newfound skill to help a cop take on a madman who's terrorizing New York City.
Movie,Philadelphia,01-Jul-19,1993,PG-13,Philadelphia attorney Andrew Beckett launches a wrongful termination suit against his law firm when they fire him because he's gay and HIV-positive.
Movie,Phir Se,15-Jan-18,2015,TV-14,"The paths of a man and a woman, who have both been recently divorced from their spouses, intersect at an art exhibition in London."
Movie,Phobia 2,05-Sep-18,2009,TV-MA,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
Movie,Phone Swap,01-Sep-19,2012,TV-14,A fashion designer and an arrogant businessman reluctantly try to help each other after accidentally swapping phones in the airport.
Movie,Phullu,31-Dec-19,2017,TV-14,"Struck by the lack of clean resources for menstruating women in his village, a jobless loafer braves social stigmas to create low-cost sanitary napkins."
Movie,Pick of the Litter,02-Aug-20,2018,TV-PG,Five Labrador puppies embark on a 20-month training to pass the milestones on their journey to becoming guide dogs for people with visual impairment.
Movie,Pierre Jackson,29-Jun-19,2018,TV-MA,"In the midst of ann arduous divorce battle, a real estate tycoon opts for a life of partying and sex until feelings for his childhood friend surface."
Movie,Pimpal,15-Nov-18,2017,TV-PG,"As a lonely widower prepares to leave India to live with his children in America, he looks back on past memories and unfinished business."
TV Show,Pioneers of African-American Cinema,01-Feb-17,1946,TV-14,This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.
Movie,Pitaah,01-Mar-18,2002,TV-MA,"Thakur Avadh is an evil landlord in a remote village who rules with an iron fist. His two sons live a debauched life, knowing that their father will bail them out of any scrape."
Movie,"Pizza, birra, faso",15-Mar-18,1998,TV-MA,A group of hardscrabble young thieves in Argentina decide to leave their boss and plan heists on their own.
Movie,"Plaire, aimer et courir vite",13-Jul-19,2018,TV-MA,"When a Paris-based writer with AIDS meets a college student exploring his sexuality, romance blossoms in his waning days."
TV Show,Planet Earth II,25-Dec-17,2016,TV-G,"In this sequel to the Emmy-winning ""Planet Earth"" series, viewers are treated to rich and intimate views of the natural diversity of our planet."
TV Show,Planet Earth: The Complete Collection,22-Apr-15,2006,TV-PG,This landmark series transports nature lovers from the Himalayan Mountains to the depths of the ocean and everywhere in between.
Movie,Planet Hulk,01-Jun-20,2010,TV-14,"When Earth's superheroes exile the volatile Incredible Hulk to a distant planet called Sakaar, the muscle-bound green monster is sold into slavery."
Movie,Planetarium,01-Jan-18,2016,TV-MA,"In pre-World War II France, two sisters purport to be able to communicate with the dead and soon catch the eye of an ambitious filmmaker."
Movie,Platoon,01-Nov-20,1986,R,A soldier grows disillusioned as he's caught between rival sergeants in this semi-autobiographical Vietnam War drama from writer-director Oliver Stone.
Movie,Playing for Time,01-Dec-17,1980,TV-14,"Captured by Nazis and sent to Auschwitz, a Jewish musician is assigned to soothe other prisoners marching to their deaths in the gas chambers."
Movie,Playing Hard,05-Apr-19,2018,TV-MA,"Step inside the Ubisoft offices, and follow designer Jason VandenBerghe's fight to create the video game ""For Honor"" over four years."
Movie,Pope Francis: A Man of His Word,03-Jan-19,2018,PG,"Documentary filmmaker Wim Wenders travels the world with Pope Francis, recording the controversial pontiff's humanist views in a sharply divided age."
Movie,Popeye,24-Nov-19,1980,PG,"During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive."
TV Show,Portlandia,25-Sep-19,2018,TV-14,"Fred Armisen and Carrie Brownstein send up the residents of Portland, Ore. Typical targets include artisanal light bulbs and feminist bookstores."
Movie,Porto,16-Apr-18,2016,TV-MA,"In a coastal Portuguese city, an erotic encounter ensues between an American expat and a French student, resonating through their lives years later."
Movie,Postcards from London,19-Feb-19,2018,TV-MA,"After being recruited to be a raconteur in London, a handsome teenager discovers he suffers from a rare condition where he faints upon seeing fine art."
TV Show,Powder,15-Feb-18,2010,TV-14,"Two men who grew up in Mumbai's slums are drawn into the city's brutal narcotics trade, where they fight on opposite sides of the law."
TV Show,Power Battle Watch Car,01-Jun-17,2016,TV-Y7,"Jino and his Watch Car, Bluewill, compete in the Battle League to become world champions. Meanwhile, a dark force threatens to destroy them all."
TV Show,Power Rangers Dino Charge,02-Dec-15,2015,TV-Y7,"In the time of dinosaurs, the ancient and powerful Energems were lost on Earth, and now the evil bounty hunter Sledge has returned to find them."
TV Show,Power Rangers Dino Super Charge,15-Oct-16,2016,TV-Y7,Just when you thought the Rangers' mission was accomplished there's an even more difficult challenge for them to face with the arrival of a new enemy.
TV Show,Power Rangers Dino Thunder,01-Jan-16,2004,TV-Y7,"Dr. Tommy Oliver returns when his students discover the Dino Gems that morph them into the Dino Power Rangers, enabling them to stop the evil Mesogog."
TV Show,Power Rangers in Space,01-Jan-16,1998,TV-Y7,"With the Power Chamber destroyed, former Turbo Power Rangers T.J., Cassie, Carlos and Ashley search for Zordon, who's been abducted by Dark Specter."
TV Show,Power Rangers Jungle Fury,01-Jan-16,2008,TV-Y7,The Power Rangers travel to California in search of their new master and find him running a pizza parlor – so they join the staff to be trained.
TV Show,Power Rangers Lightspeed Rescue,01-Jan-16,2000,TV-Y7,"As demons rumble from their graves beneath Mariner Bay, a government organization called Lightspeed recruits five civilians to defend the city."
TV Show,Power Rangers Lost Galaxy,01-Jan-16,1999,TV-Y7,"Five teenagers, transformed by the mystical powers of the Quasar Sabers into the Galaxy Power Rangers, battle the evil Scorpius and Captain Mutiny."
TV Show,Power Rangers Mystic Force,01-Jan-16,2006,TV-Y7,"When the wicked Undead Army is unleashed, sorceress Udonna empowers five teenagers – the Mystic Force Power Rangers – to save mankind."
TV Show,Power Rangers Ninja Storm,01-Jan-16,2003,TV-Y7,"When the elite warriors from the Wind Ninja Academy are captured by the evil Lothor, Shane, Tori and Waldo become Wind Power Rangers to fight back."
TV Show,Power Rangers Operation Overdrive,01-Jan-16,2007,TV-Y7,"To keep powerful jewels from falling into the hands of two wicked brothers, five young Power Rangers set out on a dangerous global adventure."
TV Show,Power Rangers RPM,01-Jan-16,2009,TV-Y7,"The Power Rangers' new member, Dillon, isn't sure he wants to be on the team until he has a dream that sets the Rangers into action."
TV Show,Power Rangers S.P.D.,01-Jan-16,2005,TV-Y7,"When the Troobian Empire attacks Earth, the B-Squad Power Rangers Space Patrol Delta morphs into action to squash the alien threat and save the world."
TV Show,Power Rangers Samurai,01-Jan-16,2011,TV-Y7,"A new generation of Power Rangers must master the Symbols of Samurai Power, which give them control over the Earth's elements to battle dark forces."
Movie,"Power Rangers Samurai: Christmas Together, Friends Forever (Christmas Special)",01-Jan-16,2011,TV-Y7,"On Christmas Eve, as the teens at Shiba House reflect on their first year together, they get an unexpected lesson on the true spirit of the holidays."
Movie,Power Rangers Samurai: Clash of the Red Rangers,01-Jan-16,2011,TV-Y7,The Samurai Rangers team up with the RPM Ranger Red to fight off Master Xandred's Mooger army and a robotic villain from the RPM Ranger's dimension.
Movie,Power Rangers Samurai: Party Monsters (Halloween Special),01-Jan-16,2011,TV-Y7,"On Halloween night, the creepiest creatures from the Netherworld trade war stories about their battles with the Samurai Power Rangers."
TV Show,Power Rangers Super Megaforce,01-Jan-16,2014,TV-Y7,"Armed with a key that allows them to morph into any team of Legendary Rangers from the past, the Super Megaforce Rangers fight ruthless Prince Vekar."
Movie,Power Rangers Super Megaforce: The Legendary Battle (Extended),01-Jan-16,2014,TV-Y7,"New footage augments the tale of the Rangers, who give their all to save Earth from Vrak and Emperor Mavro, as the Armada stages an epic final attack."
TV Show,Power Rangers Super Samurai,01-Jan-16,2012,TV-Y7,"The Samurai Power Rangers continue their battle against the evil Master Xandred, who has now joined forces with the malevolent Serrator."
Movie,Power Rangers Super Samurai: Stuck on Christmas,01-Jan-16,2012,TV-Y7,The Samurai Rangers get stuck in the Megazord's cockpit on Christmas Eve when it breaks down. Can the Rangers get out in time for Christmas?
Movie,Power Rangers Super Samurai: Trickster Treat,01-Jan-16,2012,TV-Y7,"When a Nighlok invades the Samurai Rangers' dreams and turns them into nightmares, the Rangers must figure out what is reality and what is illusion."
TV Show,Power Rangers Time Force,01-Jan-16,2001,TV-Y7,"The team launches a new campaign against evil in the year 3000, when the imprisoned criminal mastermind Ransik is freed by his daughter."
TV Show,Power Rangers Turbo,01-Jan-16,1997,TV-Y7,"The Rangers use high-tech battle cars to take on Queen Divatox and her Divazords, who mount an attack on the Rangers' beloved Angel Grove."
TV Show,Power Rangers Wild Force,01-Jan-16,2002,TV-Y7,"Raised in the wilderness, young Cole Evans leads the Wild Force Power Rangers as they summon their animal powers to battle the evil Master Org."
TV Show,Power Rangers Zeo,01-Jan-16,1996,TV-Y7,"This ""Mighty Morphin Power Rangers"" spinoff finds Tommy and the gang battling new enemies, using abilities acquired from the Zeo Crystal."
TV Show,Power Rangers: Megaforce,01-Jan-16,2013,TV-Y7,"When Earth is threatened by a massive alien invasion, the planet's supernatural guardian calls upon five teenagers to form the ultimate defense team."
Movie,Power Rangers: Megaforce: Raising Spirits,01-Jan-16,2013,TV-Y7,"On Halloween, the scariest night of the year, the Rangers have a strange encounter with a mysterious medium who conjures ""visions"" of monsters past."
Movie,Power Rangers: Megaforce: The Robo Knight Before Christmas,01-Jan-16,2013,TV-Y7,Robo Knight learns the meaning of Christmas from a group of children when he is mistaken for a donated Christmas toy and is shipped to a foreign land.
Movie,Prague,01-Dec-17,2013,TV-MA,The chaotic ramblings of a young architect's mind take hold of his life as he leaves behind his past in India to work in Prague.
Movie,Prelude to War,31-Mar-17,1942,TV-14,"Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty."
Movie,Premachi Goshta,15-Feb-18,2013,TV-14,"A man and a woman struggling to keep their respective marriages afloat run into each other at a marriage counselor's office, with unexpected results."
Movie,Prescription Thugs,15-Apr-16,2015,NR,A documentarian uses his own family's experiences as a springboard to explore the ethical issues surrounding the FDA and pharmaceutical industry.
Movie,Primal Fear,01-Dec-19,1996,R,"When a blood-spattered altar boy is found running from a murder scene, his conviction seems certain – but his attorney is determined to win the case."
Movie,Prince Charming,31-Aug-18,1984,TV-14,"Two young buddies seek love in Hawaii, and upon returning home in disappointment, soon entangle themselves in a messy identity swap."
TV Show,Prince Jai Aur Dumdaar Viru,18-Oct-20,2017,TV-Y,"A prince and a commoner who are best friends keep having to thwart the plots of the prince's scheming, ambitious minister."
Movie,Princess Cyd,05-Feb-18,2017,TV-MA,A teenager moves to Chicago for the summer and finds a poignant mentor in her aunt and a sweet love interest in a girl who works in the neighborhood.
Movie,Professor Mack,06-Aug-19,2018,TV-MA,"When a confident college professor is courted by four eligible and well-established men, she struggles to decide who she likes the best."
TV Show,Prohibition: A Film by Ken Burns and Lynn Novick,22-Feb-17,2011,TV-PG,"Ken Burns's documentary traces the passage of the 18th Amendment, the social and legal effects of prohibiting alcohol, and the repeal of Prohibition."
Movie,Prosecuting Evil: The Extraordinary World of Ben Ferencz,01-Jun-19,2019,TV-MA,"A gripping profile of Ben Ferencz, the last surviving lead prosecutor at the Nuremberg trials whose lifelong desire for justice altered the rule of law."
TV Show,Psiconautas,15-Apr-18,2016,TV-MA,A Spanish con man masquerades as a therapist and starts leading group sessions in Argentina for a crew of gullible misfits.
Movie,Pukar,01-Mar-18,2000,TV-14,A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.
Movie,Pulp Fiction,01-Jan-19,1994,R,"This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer."
Movie,Punjab 1984,01-Nov-17,2014,TV-14,"During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist."
Movie,Pusher,27-Dec-17,2012,R,"In this remake of a 1996 Danish thriller, a drug pusher incurs his suppliers' wrath when he gets busted and is left without the money he owes."
Movie,Pyaar Ka Punchnama,01-May-17,2011,TV-14,Matters of the heart introduce chaos into the once-idyllic bachelor existence of three young men who share an apartment.
TV Show,Pyaar Tune Kya Kiya," June 1, 2017",2014,TV-14,"From teen lovers defying social and religious taboos to a student falling for her teacher, these stories explore joy and heartache in modern romance."
Movie,Q Ball,11-Mar-20,2019,TV-MA,"At San Quentin State Prison, hardened convicts take their shots at redemption while navigating personal struggles by bonding through basketball."
TV Show,Qué pena tu serie,04-Nov-16,2015,TV-MA,"Javier is happily in love with Sofia, so when she breaks up their perfect life, he has to get her back – or maybe try finding a new perfect love."
Movie,Quantum of Solace,31-Aug-20,2008,PG-13,"Picking up an hour after the events of 2006's Casino Royale, this James Bond adventure finds 007 tracking a traitor who's infiltrated Britain's MI6."
TV Show,Queen of No Marriage,01-Aug-16,2009,TV-MA,Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.
Movie,Queen of the Desert,06-Apr-19,2015,PG-13,"Driven beyond the bounds of convention, adventurer Gertrude Bell leaves turn-of-the-century Britain behind for the deserts of the Middle East."
TV Show,Queens of Comedy,01-May-18,2017,TV-MA,Eight women perform in front of celebrity judges and compete for the title of India’s top female stand-up comedian.
TV Show,Queens vs. Kings,25-Oct-18,2018,TV-14,"No ""ism"" is left unturned in this celebrity game show that battles stereotypes and sexism by pitting male and female comedians against each other."
Movie,R.L. Stine's Mostly Ghostly,01-Aug-18,2008,PG,"After discovering a pair of young ghosts, a nebbish 11-year-old agrees to help the sibling spirits solve the mystery surrounding their demise."
TV Show,Rab Se Sohna Isshq,01-Jun-17,2012,TV-14,"A complex love triangle goes horribly wrong in this epic, multigenerational saga involving romance, revenge, mistaken identity and amnesia."
Movie,Race to Witch Mountain,01-Jul-19,2009,PG,A sister and brother with special powers are on the run from a mysterious organization that wants to take advantage of the siblings' gifts.
Movie,Rachel Getting Married,01-Sep-19,2008,R,Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.
Movie,Radical: the Controversial Saga of Dada Figueiredo,12-Apr-17,2013,TV-MA,"This film chronicles the career of surfer Dadá Figueiredo, whose stormy personal life upended his status as a trendsetting '70s sports hero."
Movie,Radiopetti,01-Jan-17,2015,TV-PG,"An elderly, hearing-impaired Indian man stays connected to the world of the past through the beloved valve radio he has owned since childhood."
Movie,Raging Bull,01-Oct-19,1980,R,"This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons."
Movie,Rahasya,01-Mar-18,2015,TV-14,"The murder of a teenage girl found dead in her bedroom opens up a twisted investigation that leads into a dark, murky labyrinth of secrets and lies."
Movie,Raiders!: The Story of the Greatest Fan Film Ever Made,16-Sep-16,2015,NR,"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
Movie,Railroad Tigers,19-Aug-17,2016,TV-14,"During World War II, a Chinese railroad worker leads a group of brave resistance fighters against the forces of Japanese occupation."
Movie,Raja Hindustani,01-May-17,1996,TV-14,"When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities."
Movie,Rajnigandha,31-Dec-19,1974,TV-PG,"A grad student leaves her boyfriend in Delhi for a job interview in Mumbai, where she reconnects with an old flame for whom she still has feelings."
Movie,Ralph Breaks the Internet: Wreck-It Ralph 2,11-Jun-19,2018,PG,"When video-game bad guy Ralph and best friend Vanellope discover a way onto the internet, they set off on a mission to save her broken game."
Movie,Ram Teri Ganga Maili,31-Dec-19,1985,TV-14,"Abandoned by her new husband and father of her son, a mountain woman journeys to Calcutta to find him, constantly tested by social evils along the way."
TV Show,Ramayan,01-Apr-18,2012,TV-14,A prince's divine destiny to rule as a king is thwarted by his stepmother's scheme to put her own child on the throne in this legendary epic.
Movie,Ramen Shop,31-Jul-19,2018,TV-PG,Ramen chef Masato travels to Singapore to retrace his mother's life and finds a deeper understanding of his family history and culture.
Movie,Ramji Londonwaley,31-Dec-19,2005,TV-14,"A small-town cook moves to London to earn a living, but from his employer’s sudden death to the immigration officials on his trail, plans soon go sour."
Movie,Rampant,26-May-19,2018,TV-MA,"When Prince Lee Cheong returns to Joseon after his brother’s death, he finds the kingdom plagued by deadly creatures – but they’re not the only threat."
Movie,Ranbhool,15-Mar-18,2010,TV-MA,"Believing himself to be God's envoy, a troubled young man embarks on a killing spree as his passion for music becomes a psychotic obsession."
Movie,Rangreza,01-Aug-18,2017,TV-14,"A high-flying rock star and son of a politician falls for a woman from a qawwal family, leading to a love triangle that may consume everyone involved."
Movie,Rats,16-Dec-16,2016,NR,Explore the icky world of rats and witness how their talent for surviving in almost any environment has led to catastrophic events throughout history.
TV Show,Razia Sultan,01-Apr-17,2015,TV-14,"This sweeping historical drama charts the rise of a remarkable real-life figure, the first woman to ever rule the Delhi Sultanate."
Movie,Reaction,20-Jun-19,2011,TV-14,"When a series of seemingly random people are murdered, baffled police search for a killer who may have a connection to them all."
Movie,Ready,22-Oct-17,2011,TV-PG,"Bollywood superstar Salman Khan plays Prem, an heir to a perfume fortune who falls in love with the wrong woman in this romantic comedy."
TV Show,Reality of Dream,31-Jul-18,2015,TV-MA,"Five friends from college chase their post-grad dreams of becoming a successful writer, film director, singer, rich wife and out-and-proud hair stylist."
Movie,Rebel Without a Cause,01-Nov-19,1955,PG-13,"When Jim Stark arrives in a new town with his troubled past firmly in tow, he quickly falls for the girl next door and befriends the vulnerable Plato."
TV Show,Rebelde,31-Dec-17,2004,TV-14,"Six students at an exclusive prep school, some on scholarship, discover that music can close the class divide."
